,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
937,2019-01-31,Ctrl,0,Seed,Santam,South Africa,South Africa,"ERP for professionals, health, construction, professional services, and cinema and television",Financial Services
938,2019-02-01,Pinoffer,0,Seed,500startups,Egypt,Egypt,"Advertising Platforms, Mobile Advertising, Retail, Retail Technology",Media & Entertainment
939,2019-02-01,FarmDrive,0,Seed,"EWB Canada, AK IMPACT INVESTORS, 1 to 4 Foundation, ADAP SEED FUND 2, The Lakes Charitable Foundation",Kenya,Kenya,"Agriculture, Analytics, FinTech, Information Services, Information Technology, Software",Financial Services
940,2019-02-01,Innovation Management Research Institute,0,Pre-Seed,Undisclosed,South Africa,South Africa,"Business Development, Enterprise Software, Innovation Management, Management Consulting, Management Information Systems",Information Technology
942,2019-02-01,Naiste,707000,Pre-Seed,Shenall Bridglall,South Africa,South Africa,Retail,E-Commerce & Retail
943,2019-02-01,Compareha,25000,Pre-Seed,"International Finance Corporation (IFC), Pharos Holding, AlexBank, German Agency for International Cooperation and Sustainable Development (GIZ), Visa, Ayady, Sanad’s Entrepreneurship Academy, Export Development Bank of Egypt (EBE)",Egypt,Egypt,"Information Technology, Financial Services",Financial Services
944,2019-02-04,Kasha,0,Series A,VestedWorld,Rwanda,Rwanda,"Consumer Goods, Retail, Retail Technology, Women",E-Commerce & Retail
945,2019-02-04,Kora,120000,Seed,Techstars,Nigeria,Nigeria,Finacial Services,Financial Services
946,2019-02-05,Cortex Logic,0,Series A,Undisclosed,South Africa,South Africa,"Analytics, Artificial Intelligence, Human Resources, Information Technology, Security, Software",Information Technology
947,2019-02-08,Tugende,5000000,Debt Financing,PG Impact Investments,Uganda,Uganda,"Car Sharing, Financial Services, Web Development, Asset Financing, Boda Boda",Financial Services
949,2019-02-11,Cloudshift,100000,Grant,IntilaQ,Tunisia,Tunisia,"Project Delivery, CRM, and Cloud Computing",Information Technology
950,2019-02-11,Appro.tn,70000,Grant,IntilaQ,Tunisia,Tunisia,"Transportation, Supply Chain",Transport & Logistics
951,2019-02-11,Deepera,70000,Grant,IntilaQ,Tunisia,Tunisia,"Artificial Intelligence, Information Technology",Information Technology
952,2019-02-11,Attila Tel,50000,Grant,IntilaQ,Tunisia,Tunisia,"Information Services, Information Technology",Information Technology
953,2019-02-11,Wescore,50000,Grant,IntilaQ,Tunisia,Tunisia,Management Systems,Information Technology
954,2019-02-13,Hive,0,Seed,Undisclosed,Egypt,Egypt,"Edutech, Information Technology, Transportation",Information Technology
955,2019-02-13,RapidDeploy,12000000,Series A,"GreatPoint Ventures, Samsung NEXT Ventures",South Africa,South Africa,"Business Intelligence, CAD, Cloud Computing, Field Support, Information Technology, Public Safety, SaaS",Information Technology
956,2019-02-14,Xineoh,1500000,Seed,Wade Flemons,South Africa,South Africa,"Information Technology, Software",Emerging Technologies
957,2019-02-16,Bwala Africa,0,Pre-Seed,Justin Caldbeck,Kenya,Kenya,"Logistics, Marketplace, Transportation",Transport & Logistics
958,2019-02-18,AJUA,0,Series A,Proparco,Kenya,Kenya,"Data, Insights, Mobile surveys, Mobile rewards, Voice of the Customer, NPS, Feedback Loop, Surveys, Health and Academic Research, Customer Feedback, Customer Loyalty, Net Promoter Score, NPS, Customer Acquisition, Customer Retention",Information Technology
959,2019-02-18,GoodsMart,0,Series A,Algebra Ventures,Egypt,Egypt,"Apps, Delivery Service, Shopping",E-Commerce & Retail
960,2019-02-18,Eversend,100000,Pre-Seed,Techstars,Uganda,Uganda,"Blockchain, Cryptocurrency, FinTech, InsurTech, Mobile Payments",Financial Services
961,2019-02-18,Eversend,20000,Pre-Seed,Techstars,Uganda,Uganda,"Blockchain, Cryptocurrency, FinTech, InsurTech, Mobile Payments",Financial Services
962,2019-02-19,Ubongo,0,Corporate Venture,Telecoming,Tanzania,Tanzania,"E-Learning, EdTech, Edutainment",Education
963,2019-02-21,Payabill,0,Corporate Venture,Sasfin,South Africa,South Africa,Financial Services,Financial Services
964,2019-02-21,Coindirect ,1135000,Seed,"Concentric, Blockchain.com, MakerDAO",South Africa,South Africa,"Blockchain, Cryptocurrency, E-Commerce, Internet, Payments",Financial Services
966,2019-02-24,Trella,600000,Pre-Seed,"Algebra Ventures, Esther Dyson",Egypt,Egypt,"Shipping, Transportation, Freight",Transport & Logistics
967,2019-02-26,Revix ,768000,Seed,Undisclosed,South Africa,South Africa,"Cryptocurrency, Information Technology, Software",Financial Services
968,2019-02-27,Aerobotics,2000000,Series A,Paper Plane Ventures,South Africa,South Africa,"Data Analytics, Aerial Engineering Design and Manufacture, Machine Learning, and Image Processing, Agtech, Drones, Farming, Software",Emerging Technologies
969,2019-02-28,Bboxx,6800000,Crowdfunding,Trine,United Kingdom,United Kingdom,"Electrical Distribution, Energy, Energy Management, Manufacturing, Product Design, Renewable Energy, Solar",Energy & Environment Resources
970,2019-02-28,TeamApt,5500000,Series A,Quantum Capital Partners,Nigeria,Nigeria,"Banking, Financial Services, FinTech, Payments",Financial Services
971,2019-02-28,Valr,1500000,Seed,Bittrex,South Africa,South Africa,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Trading Platform",Financial Services
972,2019-03-01,Werpx,20500,Grant,Google,Egypt,Egypt,"Artificial Intelligence, Big Data, Consumer, Delivery, Grocery, Predictive Analytics, Retail, Software, Supply Chain Management",E-Commerce & Retail
974,2019-03-03,AvidBeam,0,Series A,Egypt Ventures,Egypt,Egypt,"Information Technology, Cloud Computing, Video Big Data Analytics, Computer Vision, Artificial Intelligence, and Visualization",Information Technology
975,2019-03-05,InvestSure,685000,Seed,"Lireas Holdings, Compass Insure, 4Di Capital",South Africa,South Africa,"Fin Tech, Insur Tech",Financial Services
976,2019-03-06,Retail Capital,0,Private Equity,Crossfin Technology,South Africa,South Africa,"Financial Services, Lending, Retail",Financial Services
977,2019-03-07,Lima Kwanza Limited,0,Grant,Mastercard Foundation Fund for Rural Prosperity,Kenya,Kenya,"Banking, Financial Services",Financial Services
978,2019-03-07,Yusudi,250000,Grant,Blue Haven Initiative,Kenya,Kenya,"Training, youth development, Business Skills, internship placement, Intern recruitment, capacity building, Entry-level recruitment, Up-skilling, Business Etiquette, Sales skills, Marketing skills, Customer service skills, Administration skills, SME Talent Provision, and Recruitment",Recruitment
979,2019-03-10,AfricaSokoni,445000,Seed,Undisclosed,Kenya,Kenya,"Consumer, E-Commerce, Internet, Retail, Marketplace",E-Commerce & Retail
980,2019-03-11,OneFi,5000000,Debt Financing,Lendable,Nigeria,Nigeria,"Consumer Lending, FinTech",Financial Services
981,2019-03-11,Greenlight Planet,2000000,Crowdfunding,Trine,Kenya,Kenya,"Consumer, Consumer Electronics, Social Entrepreneurship, Solar",Solar Power
982,2019-03-11,Mobile Clinic,22000,Grant,Sandoz Healthcare Access Challenge,Uganda,Uganda,"Health Services, Medical",Healthcare & Pharma
983,2019-03-12,Dsquares,0,Series A,Algebra Ventures & Ezdehar ,Egypt,Egypt,"Information Services, Information Technology, Loyalty Programs, Software",Information Technology
985,2019-03-13,CoinFlex,0,Seed,"Digital Currency Group, PolyChain Capital",0,0,"Bitcoin, FinTech, Trading Platform",Financial Services
986,2019-03-13,FanCam,100000,Seed,Stadia Ventures,South Africa,South Africa,"Advertising, Marketing",Media & Entertainment
987,2019-03-15,Digsconnect,830000,Seed,Undisclosed,South Africa,South Africa,Marketplace,Information Technology
988,2019-03-15,Thrive Agric,150000,Seed,Y Combinator,Nigeria,Nigeria,"Agriculture, AgTech, Information Technology",Agriculture
989,2019-03-15,Tambua Health Inc.,100000,Seed,Backstage Accelerator,Kenya,Kenya,"AI, Healthtech, and Spectral Analysis",Healthcare & Pharma
990,2019-03-16,Middletrust,5000,Pre-Seed,Undisclosed,Nigeria,Nigeria,"E-Commerce, Financial Services, FinTech, Internet, Payments",E-Commerce & Retail
991,2019-03-17,Africa Healthcare Network,0,Series A,"Polaris Partners, Africa Healthcare Fund",Mauritius,Mauritius,"Biotechnology, Health Care, Dialysis Care",Healthcare & Pharma
992,2019-03-18,Thrive Agric,150000,Seed,Y Combinator,Nigeria,Nigeria,"Agriculture, AgTech, Information Technology",Agriculture
993,2019-03-18,CredPal,150000,Seed,Y Combinator,Nigeria,Nigeria,"Fintech, Consumer financing, Credit scoring",Financial Services
994,2019-03-18,Schoolable,150000,Seed,Y Combinator,Nigeria,Nigeria,"Education, Finance, Financial Services",Financial Services
995,2019-03-18,Wallets Africa,150000,Seed,Y Combinator,Nigeria,Nigeria,"Financial Services, FinTech, Infrastructure, Mobile, Mobile Payments, Payments",Financial Services
996,2019-03-18,Pinoffer,50000,Seed,500 Startups,Egypt,Egypt,"Advertising Platforms, Mobile Advertising, Retail, Retail Technology",Media & Entertainment
998,2019-03-19,FlexClub,1200000,Seed,CRE Venture Capital,South Africa,South Africa,"FinTech, Fleet Management, Marketplace, Rental, Small and Medium Businesses",Financial Services
999,2019-03-20,PEG Africa,20000000,Debt Financing,"CDC Group, ResponsAbility, SunFunder",Ghana,Ghana,"Asset Financing, Pay As You Go Solar, and Solar Energy",Energy & Environment Resources
1000,2019-03-20,PEG Africa,5000000,Series C,"Energy Access Ventures, Blue Haven Initiative, I&P Afrique Entrepreneurs, Acumen Fund, Total Energy Ventures, the Renewable Energy Performance Platform (REPP)",Ghana,Ghana,"Asset Financing, Pay As You Go Solar, and Solar Energy",Energy & Environment Resources
1001,2019-03-20,54gene,150000,Seed,Y Combinator,Nigeria,Nigeria,HealthCare,Healthcare & Pharma
1002,2019-03-21,Sendbox,0,Seed,Microtraction,Nigeria,Nigeria,"E-Commerce Platforms, Shipping, Software",E-Commerce & Retail
1003,2019-03-21,Daystar Power Africa,16000000,Debt Financing,Undisclosed,Mauritius,Mauritius,"Electronics, Solar",Renewables & Environment
1004,2019-03-21,Daystar Power Africa,10000000,Series A,"Persistent Energy Capital, Verod Capital Management",Mauritius,Mauritius,"Electronics, Solar",Renewables & Environment
1005,2019-03-21,FarmCrowdy,1000000,Seed,"Cox Enterprises, Techstars, Ajayi solutions",Nigeria,Nigeria,"Farming, Agriculture, Digital Farming, Technology Farming, Agtech",Financial Services
1006,2019-03-21,Wecyclers,227000,Grant,King Baudouin Foundation,Nigeria,Nigeria,"Association, Communities, Recycling, Service Industry",Renewables & Environment
1007,2019-03-24,Ubongo,25000,Grant,Varkey Foundation,Tanzania,Tanzania,"E-Learning, EdTech, Edutainment",Education
1008,2019-03-25,Buycoins,1100000,Seed,Undisclosed,Nigeria,Nigeria,"Bitcoin, Cryptocurrency, Mobile Apps",Financial Services
1009,2019-03-25,SeamlessHR,150000,Seed,Tofino Capital Invests,Nigeria,Nigeria,Human Resource,Commercial & Professional Services
1010,2019-03-26,GBarena,0,Seed,HIMangel,Egypt,Egypt,"Communities, eSports, Gaming, Online Games",Media & Entertainment
1011,2019-03-27,RxAll,112000,Grant,BNP Paribas,United States of America,United States of America,"Artificial Intelligence, Blockchain, Database, Hardware, Software",Emerging Technologies
1012,2019-03-28,Chocolate City Entertainment,0,Corporate Venture,Warner Music Group,Nigeria,Nigeria,Entertainment,Media & Entertainment
1013,2019-03-28,mPharma,12000000,Series B,"4DX Ventures, Novastar Ventures, Unbound Ventures",Ghana,Ghana,"Health Care, Information Technology, Management Information Systems, Digital Healthcare",Healthcare & Pharma
1014,2019-03-28,Coliba,25000,Seed,Dakar Network Angels,Ivory Coast,Ivory Coast,"Computer, Information Technology, Mobile Apps",Information Technology
1015,2019-03-29,Africa Delivery Technologies Ltd,230000,Seed,MARLINVEST,Nigeria,Nigeria,"Delivery Services, Location Based Services, Logistics",Transport & Logistics
1016,2019-04-02,Ovex,0,Seed,Newton Partners,South Africa,South Africa,"Blockchain, Cryptocurrency, Internet",Emerging Technologies
1017,2019-04-02,mPharma,1500000,Grant,Skoll Foundation,Ghana,Ghana,"Health Care, Information Technology, Management Information Systems, Digital Healthcare",Healthcare & Pharma
1018,2019-04-02,Brimore,800000,Seed,"Algebra Ventures, Endure Capital, Flat6Labs, 500Startups",Egypt,Egypt,Manufacturing,Transport & Logistics
1019,2019-04-05,Boomplay Music,20000000,Series A,"Maison Capital, Seas Capital",Nigeria,Nigeria,Media & Entertainment,Media & Entertainment
1020,2019-04-05,Kudi,5000000,Series A,Partech Partners,Nigeria,Nigeria,"Artificial Intelligence, Banking, Finance, Financial Services, FinTech",Financial Services
1021,2019-04-06,Medsaf,10000,Seed,Bill & Melinda Gates Foundation,Nigeria,Nigeria,"Health Care, Pharmaceutical, SaaS",Healthcare & Pharma
1022,2019-04-06,Iyeza Health,10000,Seed,Bill & Melinda Gates Foundation,South Africa,South Africa,Health & Pharmaceuticals,Healthcare & Pharma
1023,2019-04-09,Sidai Africa Ltd,2250000,Series A,Devenish,Kenya,Kenya,"Supplies, Agriculture",Agriculture
1024,2019-04-11,Neopenda,1040000,Seed,"SUNU CAPITAL, Axel Johnson Inc",Uganda,Uganda,"Baby, Crowdfunding, Health Care, Medical Device, Wearables",Healthcare & Pharma
1025,2019-04-12,Cash4Trash,1000,Grant,Redefine Properties,South Africa,South Africa,Waste management,Energy & Environment Resources
1026,2019-04-13,LÜLA,21400,Crowdfunding,Undisclosed,South Africa,South Africa,"Big Data, Information Technology, Mobile Apps, Mobile Payments, Predictive Analytics, Public Transportation, Ride Sharing, Ticketing, Transportation",Information Technology
1027,2019-04-14,MerQ Artificial Intelligence,800000,Seed,Ahmed Kamal Selim,Egypt,Egypt,Artificial Intelligence,Information Technology
1028,2019-04-15,TORA Africa,0,Angel,Idris Ayodeji Bello,Nigeria,Nigeria,"Business Travel, Human Resources",Education
1029,2019-04-16,Revix ,0,Private Equity,Sabvest Limited,South Africa,South Africa,"Cryptocurrency, Information Technology, Software",Financial Services
1030,2019-04-16,Peepz,0,Seed,Sozala Media,South Africa,South Africa,"Recruiting, Staffing Agency",Commercial & Professional Services
1032,2019-04-16,Kudigo,40000,Pre-Seed, Founders Factory Africa.,Ghana,Ghana,Retail,Information Technology
1033,2019-04-16,Schoolable,40000,Pre-Seed, Founders Factory Africa.,Nigeria,Nigeria,"Education, Finance, Financial Services",Financial Services
1034,2019-04-16,LipaLater,40000,Pre-Seed, Founders Factory Africa.,Kenya,Kenya,"Lending, Marketplace",Financial Services
1035,2019-04-16,Eazyhire,40000,Pre-Seed, Founders Factory Africa.,Nigeria,Nigeria,"Logistics, Supply Chain Management",E-Commerce & Retail
1036,2019-04-16,Digest Africa,40000,Pre-Seed, Founders Factory Africa.,Uganda,Uganda,Information Services,Information Technology
1037,2019-04-16,Greenage Technologies,20000,Seed,South/South-East (SSE) Angel Network,Nigeria,Nigeria,"Solar, Clean Technology",Energy & Environment Resources
1038,2019-04-16,Ahmini,10000,Grant,MIT Enterprise Forum Pan Arab,Tunisia,Tunisia,"Health Care, Health Insurance, Mobile, Service Industry",Financial Services
1039,2019-04-16,Alphotazi Farms,5500,Seed,Southern Nigerian angel network,Nigeria,Nigeria,Production of animal feed,Agriculture
1040,2019-04-16,ZeroPrime Technologies (CanBank),5000,Grant,MIT Enterprise Forum Pan Arab,Egypt,Egypt,"Wastes management, Smart Cities",Energy & Environment Resources
1041,2019-04-16,Furnwish,5000,Grant,MIT Enterprise Forum Pan Arab,Egypt,Egypt,Retail,E-Commerce & Retail
1042,2019-04-17,Centbee,1300000,Series A,Calvin Ayre,South Africa,South Africa,"Bitcoin, Cryptocurrency, Payments",Financial Services
1043,2019-04-18,Kudigo,450000,Seed,Undisclosed,Ghana,Ghana,Retail,Information Technology
1044,2019-04-19,Riby Finance,0,Grant,Undisclosed,Nigeria,Nigeria,"Saving, Investing, Fintech",Financial Services
1045,2019-04-19,CredPal,0,Grant,Undisclosed,Nigeria,Nigeria,"Fintech, Consumer financing, Credit scoring",Financial Services
1046,2019-04-19,Extramile Africa,0,Grant,Undisclosed,Nigeria,Nigeria,"Mobile Apps, Microfinance, Savings, investments",Financial Services
1047,2019-04-19,Social Lender,0,Grant,Undisclosed,Nigeria,Nigeria,"Financial Services, Lending, Mobile, Social Media",Financial Services
1048,2019-04-19,SmartTeller,0,Grant,Undisclosed,Nigeria,Nigeria,"FinTech, Banking, Information Technology",Financial Services
1049,2019-04-19,Capricorn Digital,0,Grant,Undisclosed,Nigeria,Nigeria,"Information Technology, FinTech",Financial Services
1050,2019-04-21,E-Health Zone,0,Pre-Seed,Undisclosed,Nigeria,Nigeria,Health Care,Healthcare & Pharma
1051,2019-04-24,Kiro'o Games,200000,Crowdfunding,Undisclosed,Cameroon,Cameroon,"Gaming, Mobile, Video Games",Media & Entertainment
1052,2019-04-25,Buseet,150000,Seed,500 Startups,Egypt,Egypt,"Mobile Apps, Software, Transportation",Transport & Logistics
1053,2019-04-25,Vapulus,150000,Seed,500 Startups,Egypt,Egypt,"Banking, Financial Services, Internet, Mobile Payments",Financial Services
1054,2019-04-25,Tripdizer,150000,Seed,500 Startups,Egypt,Egypt,"Tourism, Travel",Travel & Leisure
1055,2019-04-25,Garment IO,150000,Seed,500 Startups,Egypt,Egypt,Garment manufacturing,Information Technology
1056,2019-04-30,Nobuntu,0,Private Equity, Blue Garnet Ventures,South Africa,South Africa,"Finance, Financial Services, FinTech",Financial Services
1060,2019-05-03,Swaggify,0,Grant," Embassy of France, French Institute in South Africa (IFAS)",Zimbabwe,Zimbabwe,fashion brand,E-Commerce & Retail
1061,2019-05-03,Sunkambe,0,Grant," Embassy of France, French Institute in South Africa (IFAS)",South Africa,South Africa,"Music Videos, Finances",Financial Services
1063,2019-05-03,Falling Up Studios,0,Grant," Embassy of France, French Institute in South Africa (IFAS)",South Africa,South Africa,Video Game,Media/Entertainment
1064,2019-05-03,Trove Finance,0,Seed,Ventures Platform,Nigeria,Nigeria,"Cryptocurrency, Bitcoin, Bond trading",Financial Services
1065,2019-05-03,InstaDeep,7000000,Series A,"AfricInvest, Endeavor Catalyst",United Kingdom,United Kingdom,Artificial Intelligence,Information Technology
1067,2019-05-03,BuildHer,95000,Grant,UK’s Department for International Development (DFID),Kenya,Kenya,"Talent, Labour, Education, Vocational Studies",Commercial & Professional Services
1068,2019-05-03,Ten Senses Africa,95000,Grant,UK’s Department for International Development (DFID),Kenya,Kenya,"Agro-Processing, Agri-Business",Agriculture
1069,2019-05-03,TakaTaka Solutions,95000,Grant,UK’s Department for International Development (DFID),Kenya,Kenya,Waste Management,Energy & Environment Resources
1071,2019-05-03,Mancala Plus,3000,Grant," Embassy of France, French Institute in South Africa (IFAS)",Ghana,Ghana,Video Game,Media & Entertainment
1072,2019-05-04,Africa Delivery Technologies Ltd,230000,Seed,Marlinvest SAS,Nigeria,Nigeria,"Delivery Services, Location Based Services, Logistics",Transport & Logistics
1073,2019-05-06,Umba,0,Seed,"ACT Venture Capital, Bloom Equity, Frontline Ventures",Kenya,Kenya,"FinTech, Loans",Financial Services
1074,2019-05-07,SafeBoda,0,Series B,"Allianz X, Go-Ventures",Uganda,Uganda,"Apps, Consumer, Transportation",Transport & Logistics
1076,2019-05-07,Payitup,13000000,Series A,Thawer Fund Management,Zimbabwe,Zimbabwe,"Fintech, Payments",Financial Services
1077,2019-05-07,Mydawa,3000000,Series A,"Seven Seas Capital Management, Indigo Venture Partners",Kenya,Kenya,"Apps, Mobile Apps, Wellness",Healthcare & Pharma
1078,2019-05-07,Odiggo,180000,Seed,Saeed Al Jaberi,Egypt,Egypt,"Automotive, E-Commerce, Mobile Apps",E-Commerce & Retail
1079,2019-05-08,AirQo,1300000,Grant,Google,Uganda,Uganda,Environmental Consulting,Resource & Energy
1080,2019-05-08,Daystar Power Africa,560000,CrowdFunding,Trine,Mauritius,Mauritius,"Electronics, Solar",Renewables & Environment
1081,2019-05-09,Chipper Cash,2400000,Seed,Deciens Capital,United States,United States,"Financial Services, Mobile Apps, Mobile Payments, Payments",Financial Services
1082,2019-05-13,Lynk,95000,Grant,UK’s Department for International Development (DFID),Kenya,Kenya,"Professional Services, Labour",Commercial & Professional Services
1083,2019-05-14,CarePay,45000000,Series A,"PharmAccess Group, ELMA Investments",Kenya,Kenya,"Finance, FinTech, Health Care, Hospital, InsurTech",Financial Services
1084,2019-05-16,Fundis,0,Seed,Kuria Capital,Kenya,Kenya,"Jobs,  Employment",Commercial & Professional Services
1085,2019-05-17,Xpay,250000,Pre-Seed,Undisclosed,Egypt,Egypt,FinTech,Financial Services
1086,2019-05-21,Intergreatme,2000000,CrowdFunding,Undisclosed,South Africa,South Africa,"FinTech, Professional Services",Information Technology
1087,2019-05-21,The Sun Exchange ,760000,Seed,Undisclosed,South Africa,South Africa,"Solar Energy Project Financing, Solar Power, Blockchain, Internet of Things, Ethereum Smart Contracts, Bitcoin",Financial Services
1088,2019-05-22,Bboxx,8000000,Debt Financing,Facility for Energy Inclusion Off-Grid Energy Access Fund (FEI OGEF),United Kingdom,United Kingdom,"Electrical Distribution, Energy, Energy Management, Manufacturing, Product Design, Renewable Energy, Solar",Energy & Environment Resources
1089,2019-05-22,Yumamia,1500000,Seed,Pure Consulting,Egypt,Egypt,"Catering, Delivery, Food and Beverage, Food Delivery, Marketplace, Subscription Service",E-Commerce & Retail
1090,2019-05-23,Mumm,0,Seed,"500 Startups, A15",Egypt,Egypt,"E-Commerce, Food and Beverage, Food Delivery, Marketplace",E-Commerce & Retail
1091,2019-05-24,Gokada,5300000,Series A,"Rise Capital, Adventure Capital,  First MidWest Group, IC Global Partners",Nigeria,Nigeria,"Private Transport, Logistics, Ride-Hailing, Transportation, Moto-Taxi, Okada, logistics",Transport & Logistics
1092,2019-05-24,Rucove,10000,Pre-Seed,Undisclosed,Nigeria,Nigeria,"Agriculture, Blockchain, Cryptocurrency, E-Commerce, Financial Services, Human Resources, Retail",Agriculture
1093,2019-05-27,Mintrics,500000,Seed,Blue Startups Accelerator,Egypt,Egypt,"Analytics, Big Data, Content Creators, Content Marketing",Information Technology
1094,2019-05-27,MVXchange ,100000,Pre-Seed,"Oui Capital, Neon Ventures, Zircon Marine",Nigeria,Nigeria,"Transport, Logistics",Transport & Logistics
1095,2019-05-28,Travelstart,0,Debt Financing,HarbourVest,South Africa,South Africa,"Flights, Hotels, Car Hire, Package Holidays, Travel Tech, e-commerce, Technology, and Travel",Travel & Leisure
1096,2019-05-28,GovChat,1400000,Debt Financing,Capital Appreciation,South Africa,South Africa,Communications Infrastructure,Information Technology
1097,2019-05-29,Lori Systems,8700000,Series A,Undisclosed,Kenya,Kenya,"Logistics, Railroad, Transportation",Transport & Logistics
1098,2019-05-30,Intergreatme,2190000,Crowdfunding,Undisclosed,South Africa,South Africa,"FinTech, Professional Services",Information Technology
1099,2019-05-30,ElGameya,25000,Pre-Seed,"International Finance Corporation (IFC), Pharos Holding, AlexBank, German Agency for International Cooperation and Sustainable Development (GIZ), Visa, Ayady, Sanad’s Entrepreneurship Academy, Export Development Bank of Egypt (EBE)",Egypt,Egypt,"Information Technology, Fintech",Financial Services
1100,2019-05-30,El Zatona,25000,Pre-Seed,"International Finance Corporation (IFC), Pharos Holding, AlexBank, German Agency for International Cooperation and Sustainable Development (GIZ), Visa, Ayady, Sanad’s Entrepreneurship Academy, Export Development Bank of Egypt (EBE)",Egypt,Egypt,Computer Software,Financial Services
1101,2019-05-30,Fawaterak,25000,Pre-Seed,"International Finance Corporation (IFC), Pharos Holding, AlexBank, German Agency for International Cooperation and Sustainable Development (GIZ), Visa, Ayady, Sanad’s Entrepreneurship Academy, Export Development Bank of Egypt (EBE)",Egypt,Egypt,FinTech,Financial Services
1102,2019-05-30,Neqabty,25000,Pre-Seed,"International Finance Corporation (IFC), Pharos Holding, AlexBank, German Agency for International Cooperation and Sustainable Development (GIZ), Visa, Ayady, Sanad’s Entrepreneurship Academy, Export Development Bank of Egypt (EBE)",Egypt,Egypt,"Fintech, Health",Financial Services
1103,2019-05-30,Netsahem,25000,Pre-Seed,"International Finance Corporation (IFC), Pharos Holding, AlexBank, German Agency for International Cooperation and Sustainable Development (GIZ), Visa, Ayady, Sanad’s Entrepreneurship Academy, Export Development Bank of Egypt (EBE)",Egypt,Egypt,"FinTech, Crowdfunding",Financial Services
1104,2019-05-30,Seventail,25000,Pre-Seed,"International Finance Corporation (IFC), Pharos Holding, AlexBank, German Agency for International Cooperation and Sustainable Development (GIZ), Visa, Ayady, Sanad’s Entrepreneurship Academy, Export Development Bank of Egypt (EBE)",Egypt,Egypt,"FinTech, Internet, Retail Technology, Software, Supply Chain Management",E-Commerce & Retail
1105,2019-05-30,Youspital,25000,Pre-Seed,"International Finance Corporation (IFC), Pharos Holding, AlexBank, German Agency for International Cooperation and Sustainable Development (GIZ), Visa, Ayady, Sanad’s Entrepreneurship Academy, Export Development Bank of Egypt (EBE)",Egypt,Egypt,"Health, Wellness and Fitness, Fintech",Financial Services
1106,2019-06-03,Greenage Technologies,57000,Seed,Undisclosed,Nigeria,Nigeria,"Solar, Clean Technology",Energy & Environment Resources
1107,2019-06-04,Azuri Technologies,26000000,Corporate Venture,Marubeni Corporation,United Kingdom,United Kingdom,"Energy, Renewable Energy, Solar",Energy & Environment Resources
1108,2019-06-06,SmartBlade,640000,Seed,Savant,South Africa,South Africa,"Apps, Hospital, Video",Healthcare & Pharma
1109,2019-06-06,Pelebox,32000,Grant,The Royal Academy Of Engineering,South Africa,South Africa,"Health Services, Information Technology",Healthcare & Pharma
1110,2019-06-10,Tymebank,13630000,Private Equity,"Ethos Private Equity, African Rainbow Partners",South Africa,South Africa,"Banking, Financial Services, Information Technology, Payments",Financial Services
1111,2019-06-11,MPost,0,Seed,HAVAIC,Kenya,Kenya,"Mobile, Mobile Apps",Information Technology
1112,2019-06-11,Orcas​,500000,Seed,"Algebra Ventures​, NFX Capital",Egypt,Egypt,"E-Commerce, Education, Internet",Education
1113,2019-06-12,Twiga Foods,5000000,Private Equity,Creadev ,Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
1114,2019-06-12,Lynk,2500000,Series A,Lateral Capital,Kenya,Kenya,"Professional Services, Labour",Commercial & Professional Services
1115,2019-06-12,Truckr Technologies,2700,Grant,TechCircle,Ghana,Ghana,"logistics, transportation, IoT, road-freight, tracking, cargo, and technology",Transport & Logistics
1116,2019-06-13,Inclusivity Solutions,1560000,Series A,"Goodwell Investments, RGAx, Allan Gray",South Africa,South Africa,"Emerging Markets, FinTech, Insurance, InsurTech",Financial Services
1117,2019-06-13,Snode Technologies,50000,Grant,Meltwater Entrepreneurial School of Technology (MEST),South Africa,South Africa,"Computer, Network Security",Information Technology
1118,2019-06-13,WayaWaya,50000,Grant,Meltwater Entrepreneurial School of Technology (MEST),Kenya,Kenya,"E-Commerce, Financial Services, FinTech, Mobile, Mobile Payments",Financial Services
1119,2019-06-13,Snode Technologies,25000,Debt Financing,Microsoft,South Africa,South Africa,"Computer, Network Security",Information Technology
1120,2019-06-13,WayaWaya,25000,Debt Financing,Microsoft,Kenya,Kenya,"E-Commerce, Financial Services, FinTech, Mobile, Mobile Payments",Financial Services
1121,2019-06-15,Max.ng,6000000,Series A,"Novastar Ventures, Yamaha, Breakthrough Energy Ventures, Zrosk Investment Management, Alitheia Capital",Nigeria,Nigeria,"Hyperlocal logistics, On-demand Delivery, Transportation, Delivery Services, E-Commerce Logsitics, Okada, and Moto-Taxi, Ride-Hailing",Transport & Logistics
1122,2019-06-15,Max.ng,1000000,Grant,"Novastar Ventures, Yamaha, Breakthrough Energy Ventures, Zrosk Investment Management, Alitheia Capital",Nigeria,Nigeria,"Hyperlocal logistics, On-demand Delivery, Transportation, Delivery Services, E-Commerce Logsitics, Okada, and Moto-Taxi, Ride-Hailing",Transport & Logistics
1123,2019-06-16,Eksab,0,Seed,500 Startups,Egypt,Egypt,Fantasy Sports,Media/ Entertainment
